Column1
呼び掛ける
定員
地盤
占う
特殊
仮名遣い
四季
成立
固い
生存
響き
活力
楕円
出張
架空
梯子
鉢
美容
整備
払い込む
焚く
課税
堅い
青白い
蒸し暑い
工員
直径
早口
煙い
紅葉
明け方
正門
不通
花嫁
詫びる
屋外
万歳
訳す
鈴
引き止める
略す
効力
原産
一段と
広さ
夫妻
演劇
暴れる
緯度
見付かる
商業
器具
釜
酒場
祭る
同格
大通り
法則
実物
張り切る
点ける
長所
揃う
就任
調味料
煉瓦
月給
打ち消す
謙遜
吐き気
点く
憧れる
宛名
驚かす
積む
真似る
田植え
調節
延びる
勝負
受話器
手首
寝巻
押える
芸能
掃く
鉄橋
電池
取り消す
姪
始めに
持参
列島
一旦
誓う
中旬
賞金
回数券
直通
金魚
卸す
性能
順々
産地
酢
水蒸気
稀
両側
便箋
日陰
圧縮
超える
体操
無数
御免
跳ねる
突き当たる
真空
待ち合わせる
出勤
標識
手帳
対策
散らす
だいいち
園芸
重量
案外
代名詞
公表
射す
稽古
活躍
崩す
見慣れる
広場
薬缶
学級
下る
内線
雑音
下町
建つ
定期券
王女
けれど/けれども
神様
遠足
要旨
大学院
車庫
職人
消毒
炊事
不運
寝台
汲む
物騒
日程
仲良し
区切る
測量
思い掛けない
公害
反省
初級
扇ぐ
具える
足袋
膨大
拭く
寿命
瓦
空想
照る
農村
転がす
浮ぶ
寝間着
丼
南極
散らかる
揚げる
中世
肘
統一
随筆
座布団
北極
実る
面積
破片
税関
作る/造る
杉
潰す
捕る
近々
客間
逆様
清掃
実感
並行
安易
円周
田ぼ
突く
友好
活字
蛇口
狙い
本来
未満
振舞う
送り仮名
日帰り
鉄砲
敷く
賞品
受取
洗剤
錆びる
鉱物
刺さる
船便
真っ先
手洗い
人差指
現に
電球
枕
貸家
一休み
正方形
捜す
経度
専制
付近
水滴
挿す
被せる
突っ込む
引っ繰り返る
濁る
改める
承る
隙間
糊
石鹸
全身
送料
気を付ける
刺す
予備
侵入
広める
西暦
全集
為替
堀
冷ます
攻める
著す
四捨五入
競馬
勇ましい
平日
鑑賞
氏名
分解
回り道
的確
冷める
流行る
停止
合理
銘々
乗車
文体
郡
刷る
蹴る
塞ぐ
草履
空中
縞
大して
月日
紙幣
尖る
売買
銅
反映
教養
増減
養分
名物
歌謡
湿気
覗く
血液
幼児
問答
箒
長女
分る
削る
材木
妥当
巡る
目上
表紙
本部
瞳
小遣い
加熱
文房具
可決
生け花
荒い
小便
帰す
酸性
垣根
南米
御馳走
電柱
逆さ
白髪
綱
売店
陽射
親類
勝敗
伯父さん
髭
腰掛ける
纏める
御中
貸し出し
題名
雑巾
浴衣
武士
寸法
床屋
必需品
書籍
目印
中身
朗らか
灯台
比較的
形式
特長
複数
全般
造船
看板
歯車
断定
人通り
日の出
大工
悔やむ
埋める
剥す
執筆
英和
文芸
保健
分かれる
蛍光灯
増やす
娯楽
椀
領事
毛糸
向う
畳む
分数
応用
只
運河
郵送
将棋
実習
兼ねる
余所
対照
作者
炭鉱
役者
再来週
掘る
方言
為す
写る
打合せ
塞がる
枚数
縫う
顕微鏡
生える
固まる
引っ繰り返す
通り掛かる
循環
教わる
鳴らす
英文
碗
一昨年
公務
蒸気
縛る
締切
撮影
絞る
剃る
構造
偉い
酔っ払い
煙突
缶詰
公正
漁業
有無
観測
診る
写生
叔母さん
学会
心得る
見下ろす
果実
浮かべる
淡水
特色
上る
年度
話し掛ける
伝わる
乾燥
火傷
御無沙汰
夜行
真っ暗
井戸
じゅうたん
寒帯
個所
境界
言付ける
新幹線
反る
雨戸
解放
外科
幼稚
湿度
無沙汰
概論
温泉
手続き
知合い
障子
山林
果して
着せる
身分
大小
休息
捩る
定価
坊さん
停車
機関車
回答
公衆
祖先
羨む
売り切れる
移転
司会
物置
休業
短編
碁
戸棚
人命
立ち止まる
苦心
用語
終了
挟む
物語る
診断
分類
宣伝
有難い
頼もしい
出入り
仕上がる
芯
茂る
先程
吹雪
憎い
恩恵
統計
水筒
輸送
当日
原料
耕す
遭う
判子
面接
散る
見本
道順
満点
公式
貝
寄せる
普及
乗換
崩れる
都心
見付ける
再来年
中性
出来上がる
純粋
特定
量る
領収
並木
継続
